TIME_UNITS: SECONDS
SERIE_INITIAL_DATA: 2024 1 1 0 0 0
NAME : Mare esquematica 
COORD_X : 26.03478
COORD_Y : 40.7444

Date   U  V  N N2
<BeginTimeSerie>
3.00E+05 -9.12E-03 8.58E-03 2.94E+00 2.35E+00
3.01E+05 -9.86E-03 7.57E-03 2.96E+00 2.36E+00
3.01E+05 -1.05E-02 6.50E-03 2.97E+00 2.36E+00
3.02E+05 -1.11E-02 5.39E-03 2.97E+00 2.36E+00
3.02E+05 -1.16E-02 4.24E-03 2.97E+00 2.36E+00
3.03E+05 -1.21E-02 3.07E-03 2.96E+00 2.35E+00
3.04E+05 -1.24E-02 1.87E-03 2.95E+00 2.35E+00
3.04E+05 -1.27E-02 6.52E-04 2.92E+00 2.34E+00
3.05E+05 -1.29E-02 -5.66E-04 2.89E+00 2.32E+00
3.05E+05 -1.29E-02 -1.78E-03 2.86E+00 2.31E+00
3.06E+05 -1.29E-02 -2.98E-03 2.82E+00 2.29E+00
3.07E+05 -1.28E-02 -4.16E-03 2.77E+00 2.28E+00
3.07E+05 -1.26E-02 -5.31E-03 2.71E+00 2.26E+00
3.08E+05 -1.23E-02 -6.43E-03 2.66E+00 2.23E+00
3.08E+05 -1.20E-02 -7.49E-03 2.59E+00 2.21E+00
3.09E+05 -1.15E-02 -8.51E-03 2.53E+00 2.19E+00
3.10E+05 -1.10E-02 -9.46E-03 2.45E+00 2.16E+00
3.10E+05 -1.03E-02 -1.03E-02 2.38E+00 2.13E+00
3.11E+05 -9.65E-03 -1.12E-02 2.30E+00 2.11E+00
3.11E+05 -8.89E-03 -1.19E-02 2.22E+00 2.08E+00
3.12E+05 -8.07E-03 -1.25E-02 2.14E+00 2.05E+00
3.13E+05 -7.19E-03 -1.31E-02 2.06E+00 2.02E+00
3.13E+05 -6.26E-03 -1.36E-02 1.98E+00 1.99E+00
3.14E+05 -5.28E-03 -1.39E-02 1.90E+00 1.96E+00
3.14E+05 -4.27E-03 -1.42E-02 1.82E+00 1.94E+00
3.15E+05 -3.23E-03 -1.44E-02 1.74E+00 1.91E+00
3.16E+05 -2.16E-03 -1.45E-02 1.66E+00 1.88E+00
3.16E+05 -1.08E-03 -1.44E-02 1.58E+00 1.86E+00
3.17E+05 1.36E-05 -1.43E-02 1.51E+00 1.83E+00
3.17E+05 1.10E-03 -1.40E-02 1.44E+00 1.81E+00
3.18E+05 2.19E-03 -1.37E-02 1.38E+00 1.79E+00
3.19E+05 3.25E-03 -1.33E-02 1.32E+00 1.77E+00
3.19E+05 4.29E-03 -1.27E-02 1.26E+00 1.75E+00
3.20E+05 5.31E-03 -1.21E-02 1.21E+00 1.74E+00
3.20E+05 6.28E-03 -1.14E-02 1.16E+00 1.72E+00
3.21E+05 7.21E-03 -1.06E-02 1.13E+00 1.71E+00
3.22E+05 8.09E-03 -9.76E-03 1.09E+00 1.70E+00
3.22E+05 8.91E-03 -8.83E-03 1.07E+00 1.69E+00
3.23E+05 9.67E-03 -7.84E-03 1.05E+00 1.69E+00
3.23E+05 1.04E-02 -6.79E-03 1.03E+00 1.69E+00
3.24E+05 1.10E-02 -5.69E-03 1.03E+00 1.68E+00
3.25E+05 1.15E-02 -4.55E-03 1.03E+00 1.69E+00
3.25E+05 1.20E-02 -3.38E-03 1.04E+00 1.69E+00
3.26E+05 1.23E-02 -2.18E-03 1.05E+00 1.70E+00
3.26E+05 1.26E-02 -9.71E-04 1.07E+00 1.70E+00
3.27E+05 1.28E-02 2.47E-04 1.10E+00 1.71E+00
3.28E+05 1.29E-02 1.46E-03 1.13E+00 1.73E+00
3.28E+05 1.29E-02 2.67E-03 1.17E+00 1.74E+00
3.29E+05 1.29E-02 3.86E-03 1.22E+00 1.76E+00
3.29E+05 1.27E-02 5.02E-03 1.27E+00 1.77E+00
3.30E+05 1.24E-02 6.14E-03 1.33E+00 1.79E+00
3.31E+05 1.21E-02 7.22E-03 1.39E+00 1.81E+00
3.31E+05 1.16E-02 8.25E-03 1.46E+00 1.83E+00
3.32E+05 1.11E-02 9.22E-03 1.53E+00 1.85E+00
3.32E+05 1.05E-02 1.01E-02 1.60E+00 1.88E+00
3.33E+05 9.84E-03 1.10E-02 1.68E+00 1.90E+00
3.34E+05 9.10E-03 1.17E-02 1.76E+00 1.93E+00
3.34E+05 8.29E-03 1.24E-02 1.84E+00 1.95E+00
3.35E+05 7.43E-03 1.30E-02 1.92E+00 1.97E+00
3.35E+05 6.51E-03 1.35E-02 2.00E+00 2.00E+00
3.36E+05 5.54E-03 1.39E-02 2.08E+00 2.02E+00
3.37E+05 4.54E-03 1.42E-02 2.16E+00 2.05E+00
3.37E+05 3.50E-03 1.44E-02 2.24E+00 2.07E+00
3.38E+05 2.44E-03 1.44E-02 2.32E+00 2.09E+00
3.38E+05 1.36E-03 1.44E-02 2.40E+00 2.12E+00
3.39E+05 2.72E-04 1.43E-02 2.47E+00 2.14E+00
3.40E+05 -8.18E-04 1.41E-02 2.54E+00 2.16E+00
3.40E+05 -1.90E-03 1.38E-02 2.61E+00 2.18E+00
3.41E+05 -2.97E-03 1.34E-02 2.67E+00 2.19E+00
3.41E+05 -4.02E-03 1.29E-02 2.73E+00 2.21E+00
3.42E+05 -5.05E-03 1.23E-02 2.78E+00 2.22E+00
3.43E+05 -6.03E-03 1.16E-02 2.83E+00 2.24E+00
3.43E+05 -6.97E-03 1.08E-02 2.87E+00 2.25E+00
3.44E+05 -7.87E-03 1.00E-02 2.90E+00 2.25E+00
3.44E+05 -8.70E-03 9.08E-03 2.93E+00 2.26E+00
3.45E+05 -9.48E-03 8.10E-03 2.95E+00 2.27E+00
3.46E+05 -1.02E-02 7.07E-03 2.97E+00 2.27E+00
3.46E+05 -1.08E-02 5.98E-03 2.97E+00 2.27E+00
3.47E+05 -1.14E-02 4.85E-03 2.97E+00 2.27E+00
3.47E+05 -1.19E-02 3.69E-03 2.97E+00 2.27E+00
3.48E+05 -1.23E-02 2.50E-03 2.96E+00 2.26E+00
3.49E+05 -1.26E-02 1.29E-03 2.94E+00 2.25E+00
3.49E+05 -1.28E-02 7.10E-05 2.91E+00 2.25E+00
3.50E+05 -1.29E-02 -1.15E-03 2.88E+00 2.24E+00
3.50E+05 -1.29E-02 -2.36E-03 2.84E+00 2.23E+00
3.51E+05 -1.29E-02 -3.55E-03 2.79E+00 2.21E+00
3.52E+05 -1.27E-02 -4.72E-03 2.74E+00 2.20E+00
3.52E+05 -1.25E-02 -5.85E-03 2.69E+00 2.18E+00
3.53E+05 -1.22E-02 -6.94E-03 2.63E+00 2.17E+00
3.53E+05 -1.18E-02 -7.99E-03 2.56E+00 2.15E+00
3.54E+05 -1.13E-02 -8.97E-03 2.49E+00 2.13E+00
3.55E+05 -1.07E-02 -9.89E-03 2.42E+00 2.11E+00
3.55E+05 -1.00E-02 -1.07E-02 2.34E+00 2.09E+00
3.56E+05 -9.30E-03 -1.15E-02 2.27E+00 2.07E+00
3.56E+05 -8.51E-03 -1.22E-02 2.19E+00 2.05E+00
3.57E+05 -7.66E-03 -1.28E-02 2.11E+00 2.03E+00
3.58E+05 -6.75E-03 -1.33E-02 2.02E+00 2.01E+00
3.58E+05 -5.80E-03 -1.38E-02 1.94E+00 1.99E+00
3.59E+05 -4.80E-03 -1.41E-02 1.86E+00 1.96E+00
3.59E+05 -3.77E-03 -1.43E-02 1.78E+00 1.94E+00
<EndTimeSerie>
